OBJECTID,NUM,SITE_NUM,NAME,SUP_DISTRICT,SHAPEAREA,SHAPELEN
8325,,2664,Potential Industries,4,7814.16419843692,313.760597687136
8326,,3168,Universal Waste Systems Inc. DTF,1,7814.16738749292,313.760661708814
8641,,1664,"Benny's Disposal Service, Inc.",1,7814.17113601429,313.760736964664
8642,144-357,235,CR & R Incorporated - Pinon Hills,,7814.16678445213,313.760649637976
8643,,1444,Frank's Disposal,4,7814.16493478976,313.760612461878
8644,,3624,Republic Services Anaheim,,7814.16420693616,313.760597865402
8645,,3625,R Big Continental,3,7814.16037279289,313.760520899009
8646,,3626,Rancho Disposal Service,,7814.17169561456,313.760748208533
8647,TS,3627,Pomona Valley Transfer Station,1,7814.1677556581,313.760669097475
8648,,274,City of Culver City (Waste Hauler),2,7814.1677556581,313.760669097475
8649,,3865,H. M. Holloway,,7814.16783336537,313.760670668431
