SERIAL_NUMBER,VIOLATION_STATUS,VIOLATION_CODE,VIOLATION_DESCRIPTION,ObjectId
DAT3KIXCW,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,34
DAT3KIXCW,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",35
DAT3KIXCW,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,36
DATSZSESY,OUT OF COMPLIANCE,H004,BEDBUGS - UNIT,37
DAVHKD0OO,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,38
DAVHKD0OO,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,39
DAVHKD0OO,OUT OF COMPLIANCE,H004,BEDBUGS - UNIT,40
DAWXIDKMJ,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,41
DAZDH07B5,OUT OF COMPLIANCE,H004,BEDBUGS - UNIT,42
DAZDMEVOF,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,43
DAZDMEVOF,OUT OF COMPLIANCE,H095,STAIRS - PREMISES,44
DAZDMEVOF,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT,45
DAZDMEVOF,OUT OF COMPLIANCE,H045,SINK BASIN - UNIT,46
DAZDMEVOF,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,47
DAZDMEVOF,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,48
DAZDMEVOF,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,49
DAZDMEVOF,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES,50
DAG5UG8WO,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,51
DAG5UG8WO,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,52
DAG5UG8WO,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",53
DAHXDKITZ,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,54
DAJ0I000I,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES,55
DAJ0I000I,OUT OF COMPLIANCE,H086,REFUSE AREA/BINS - PREMISES,56
DAJ66QNYK,OUT OF COMPLIANCE,H086,REFUSE AREA/BINS - PREMISES,57
DAJKWG4VP,OUT OF COMPLIANCE,H012,OUTLET/FIXTURES - UNIT,58
DAJKWG4VP,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,59
DAJKWG4VP,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,60
DAJKWG4VP,OUT OF COMPLIANCE,H045,SINK BASIN - UNIT,61
DAKVRLCWS,OUT OF COMPLIANCE,H058,FLIES - PREMISES,62
DAKVRLCWS,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES,63
DAKVRLCWS,OUT OF COMPLIANCE,H086,REFUSE AREA/BINS - PREMISES,64
DANAWN10X,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,65
DANAWN10X,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT,66
DAPG0DPSW,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,67
DAPG0DPSW,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,68
DAPG0DPSW,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,69
DAPUI8HWJ,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,70
DAPUI8HWJ,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,71
DARXBHIU4,OUT OF COMPLIANCE,H057,COCKROACHES - PREMISES,72
DARXBHIU4,OUT OF COMPLIANCE,H086,REFUSE AREA/BINS - PREMISES,73
DARYS2FVV,OUT OF COMPLIANCE,H006,NO HOT-WATER - UNIT,74
DASCUV27R,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,75
DASCUV27R,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,76
DASCUV27R,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",77
DASCUV27R,OUT OF COMPLIANCE,H004,BEDBUGS - UNIT,78
DASDGFTAB,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,79
DAXMFUFNH,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,80
DAXMFUFNH,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,81
DAXMFUFNH,OUT OF COMPLIANCE,H012,OUTLET/FIXTURES - UNIT,82
DAYAHIW0I,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,83
DAYAHIW0I,OUT OF COMPLIANCE,H002,FLIES - UNIT,84
DAZWGGKL4,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,85
DAZWGGKL4,OUT OF COMPLIANCE,H019,MISSING COMFORT HEAT - UNIT,86
DAZWGGKL4,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",87
DAZWGGKL4,OUT OF COMPLIANCE,H004,BEDBUGS - UNIT,88
DAZWGGKL4,OUT OF COMPLIANCE,H027,INADEQUATE LIGHTING - UNIT,89
DAZWGGKL4,OUT OF COMPLIANCE,H045,SINK BASIN - UNIT,90
DA0MH3CGK,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,91
DA0MH3CGK,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT,92
DA1517664,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,93
DA1517664,OUT OF COMPLIANCE,H004,BEDBUGS - UNIT,94
DA2GTV1Q0,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,95
DAAJLEV1S,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,96
DAB0LPSAI,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,97
DAB9A5PX9,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,98
DAB9A5PX9,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,99
DAB9A5PX9,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,100
DAS0R1CL0,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,101
DAUSZAZLP,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,102
DAUSZAZLP,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,103
DAV1D3MLW,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT,104
DAVQ3RZSR,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,105
DAWVCO6JU,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,106
DAYTPIXH3,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,107
DAYTPIXH3,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",108
DAYTPIXH3,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,109
DAYTPIXH3,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,110
DAYTPIXH3,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,111
DAYTPIXH3,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,112
DA0TJ3ZPU,OUT OF COMPLIANCE,H058,FLIES - PREMISES,113
DA0TJ3ZPU,OUT OF COMPLIANCE,H086,REFUSE AREA/BINS - PREMISES,114
DA5BJ5FUU,OUT OF COMPLIANCE,H004,BEDBUGS - UNIT,115
DA5UAKUBB,OUT OF COMPLIANCE,H086,REFUSE AREA/BINS - PREMISES,116
DA9MIO4KV,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,117
DA9MIO4KV,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT,118
DAASMI0UC,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,119
DAASMI0UC,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,120
DAASMI0UC,OUT OF COMPLIANCE,H037,VENTILATION - UNIT,121
DABMAMGE3,OUT OF COMPLIANCE,H004,BEDBUGS - UNIT,122
DACBJRKPV,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,123
DACBJRKPV,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,124
DAERK28GH,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,125
DAFHVUN14,OUT OF COMPLIANCE,H066,SEWER/DRAIN LINES - PREMISES,126
DAG0D0JLZ,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,127
DAG0D0JLZ,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,128
DAG0D0JLZ,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,129
DAG3D2QCZ,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,130
DAGVWR9EJ,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,131
DAGVWR9EJ,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,132
DAGVWR9EJ,OUT OF COMPLIANCE,H045,SINK BASIN - UNIT,133
DAH8XPBYL,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,134
DAH8XPBYL,OUT OF COMPLIANCE,H006,NO HOT-WATER - UNIT,135
DAH8XPBYL,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT,136
DAHNWUWDZ,OUT OF COMPLIANCE,H007,WATER LINE - UNIT,137
DAHNWUWDZ,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,138
DAHNWUWDZ,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,139
DAHQGB60J,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,140
DAHUWWCCL,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,141
DAIQJXOGA,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,142
DAIQJXOGA,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,143
DAIQJXOGA,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,144
DAIQJXOGA,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,145
DAIQJXOGA,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,146
DAK6EBOPY,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,147
DAK6EBOPY,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,148
DAKBCRMAF,OUT OF COMPLIANCE,H086,REFUSE AREA/BINS - PREMISES,149
DAKRRYOLH,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES,150
DA1504883,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT,151
DA56DE8AG,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,152
DA6AK2CWF,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,153
DA6AK2CWF,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,154
DA7UNT2BE,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,155
DA7UNT2BE,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,156
DA7UNT2BE,OUT OF COMPLIANCE,H044,FAUCET FIXTURES - UNIT,157
DACVJMU4X,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,158
DADGMF0DU,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT,159
DADKBHUMK,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,160
DADKBHUMK,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,161
DADKBHUMK,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,162
DADKBHUMK,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,163
DADKBHUMK,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",164
DAE66FYJB,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,165
DAF2KTYZX,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,166
DAFSTBM7N,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,167
DAFSTBM7N,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,168
DAGK5DEPN,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,169
DAHGVGYDJ,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,170
DAHGVGYDJ,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT,171
DAI0T9F0X,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,172
DAI0T9F0X,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,173
DAI0T9F0X,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,174
DAJNV3E03,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,175
DAL0CTOW0,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,176
DALFX0DTP,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,177
DALRNUDHK,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,178
DALRNUDHK,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,179
DALRNUDHK,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",180
DAMS30Q50,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,181
DAMS30Q50,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT,182
DANHVW6ZP,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,183
DANHVW6ZP,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,184
DAQMJOJRL,OUT OF COMPLIANCE,H012,OUTLET/FIXTURES - UNIT,185
DASYBQBOO,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,186
DAT10HE0E,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,187
DAT10HE0E,OUT OF COMPLIANCE,H011,COVER PLATES - UNIT,188
DAT97YQL0,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT,189
DAV0FIKZ5,OUT OF COMPLIANCE,H004,BEDBUGS - UNIT,190
DAV0FIKZ5,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,191
DAVBDNEJA,OUT OF COMPLIANCE,H092,WINDOWS/SCREENS - PREMISES,192
DAVBDNEJA,OUT OF COMPLIANCE,H016,FIXTURES - UNIT,193
DAVBDNEJA,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,194
DAVBDNEJA,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,195
DA0MZYKJE,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,196
DA0MZYKJE,OUT OF COMPLIANCE,H066,SEWER/DRAIN LINES - PREMISES,197
DA0PMZYSC,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,198
DA0SEBXPX,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,199
DA0SEBXPX,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,200
DAS1VR4VB,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,201
DAS1VR4VB,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,202
DAS1VR4VB,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",203
DAS1VR4VB,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,204
DAS1VR4VB,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,205
DAUBSEM55,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,206
DAUBSEM55,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,207
DAUBSEM55,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,208
DA0LW6K8R,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,209
DA1M0XKYS,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,210
DA1M0XKYS,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,211
DA1M0XKYS,OUT OF COMPLIANCE,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES,212
DA1M0XKYS,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,213
DA1M0XKYS,OUT OF COMPLIANCE,H095,STAIRS - PREMISES,214
DA1M0XKYS,OUT OF COMPLIANCE,H045,SINK BASIN - UNIT,215
DA391LMN5,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,216
DA391LMN5,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,217
DA391LMN5,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,218
DA5SLRTLP,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,219
DA5SLRTLP,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",220
DA5SLRTLP,OUT OF COMPLIANCE,H045,SINK BASIN - UNIT,221
DA5VTDPFS,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,222
DA5VTDPFS,OUT OF COMPLIANCE,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES,223
DA5VTDPFS,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,224
DA5VTDPFS,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,225
DA5VTDPFS,OUT OF COMPLIANCE,H085,LAUNDRY ROOM/REC ROOM - PREMISES,226
DAB9SUGQS,OUT OF COMPLIANCE,H066,SEWER/DRAIN LINES - PREMISES,227
DADNM9VFQ,OUT OF COMPLIANCE,H031,CAST-OFFS/DEBRIS/WASTE - UNIT,228
DADQXDVPK,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,229
DADQXDVPK,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,230
DADQXDVPK,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,231
DADQXDVPK,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",232
DAEHIL4CS,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,233
DAEHIL4CS,OUT OF COMPLIANCE,H065,INADEQUATE FLOW - PREMISES,234
DAEHIL4CS,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",235
DAGLBAMDR,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,236
DAGLBAMDR,OUT OF COMPLIANCE,H092,WINDOWS/SCREENS - PREMISES,237
DAGLBAMDR,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,238
DAGQ4HVU3,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,239
DAHHGGWVB,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT,240
DAIZSEYX5,OUT OF COMPLIANCE,H007,WATER LINE - UNIT,241
DAK2AUFYJ,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,242
DAK2AUFYJ,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,243
DAK2AUFYJ,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,244
DAK2AUFYJ,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,245
DAKZJLIQV,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,246
DAKZJLIQV,OUT OF COMPLIANCE,H096,VENT SCREENS - PREMISES,247
DALQ20BZ7,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,248
DAQU90A3Q,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,249
DARSDY0JG,OUT OF COMPLIANCE,H061,RATS/MICE - PREMISES,250
DA1505273,OUT OF COMPLIANCE,H061,RATS/MICE - PREMISES,251
DA1505286,OUT OF COMPLIANCE,H061,RATS/MICE - PREMISES,252
DA1506323,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,253
DA2TNZKC1,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,254
DA2TNZKC1,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,255
DA2TNZKC1,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT,256
DA9AUOSYF,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,257
DAA6MDCJJ,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES,258
DAANQFMZE,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,259
DAB0GMK3I,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,260
DADJDN0VS,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,261
DADOA98A6,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,262
DAE47SNWD,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES,263
DAEATSMR0,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,264
DAEKIPMEF,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,265
DAEKIPMEF,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,266
DAEKIPMEF,OUT OF COMPLIANCE,H011,COVER PLATES - UNIT,267
DAF3JFVND,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,268
DAFWX0HWH,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,269
DAGCBMLFK,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,270
DAHAMIKA4,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,271
DAHAMIKA4,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,272
DAHAMIKA4,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES,273
DAHIOH7XL,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,274
DAHIOH7XL,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,275
DAHIOH7XL,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,276
DAIFDFF9G,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,277
DAKNJDLUG,OUT OF COMPLIANCE,H086,REFUSE AREA/BINS - PREMISES,278
DAKPVBIKD,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES,279
DALOFKDC4,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,280
DALOFKDC4,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,281
DALOFKDC4,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES,282
